127.0.0.1 - - [09/Apr/2022:14:38:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:38:59 +0530] "GET /ServletTech/Bantai.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:38:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:39:04 +0530] "POST /ServletTech/AibaNo1 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:39:05 +0530] "GET /ServletTech/AibaNo2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:41:22 +0530] "POST /ServletTech/AibaNo1 HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:41:23 +0530] "GET /ServletTech/AibaNo2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:45:42 +0530] "POST /ServletTech/AibaNo1 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:45:44 +0530] "GET /ServletTech/AibaNo2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:45:49 +0530] "GET /ServletTech/Bantai.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:45:50 +0530] "GET /ServletTech/Bantai.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:45:50 +0530] "GET /ServletTech/Bantai.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:45:50 +0530] "GET /ServletTech/Bantai.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:45:53 +0530] "POST /ServletTech/AibaNo1 HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:45:55 +0530] "GET /ServletTech/AibaNo2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:46:14 +0530] "POST /ServletTech/AibaNo1 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:46:16 +0530] "GET /ServletTech/AibaNo2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:46:40 +0530] "GET /ServletTech/WEB-INF/classes/com/attr HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:46:50 +0530] "GET /ServletTech/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:46:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:46:55 +0530] "POST /ServletTech/AibaNo1 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:46:57 +0530] "GET /ServletTech/AibaNo2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:47:49 +0530] "GET /ServletTech/ HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:47:50 +0530] "GET /ServletTech/ HTTP/1.1" 304 -
